dia_busqueda,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,precio
2019-04-15,Barcelona,London Gatwick,2019-09-30T12:35:00,2019-09-30T13:55:00,140,7826,Vueling Airlines,VY,95.77
2019-04-15,Barcelona,London Gatwick,2019-09-30T07:35:00,2019-09-30T08:55:00,140,8068,Vueling Airlines,VY,98.95
2019-04-15,Barcelona,London Gatwick,2019-09-30T10:50:00,2019-09-30T12:10:00,140,8081,Vueling Airlines,VY,116.09
2019-04-15,Barcelona,London Gatwick,2019-09-30T19:40:00,2019-09-30T21:00:00,140,5552,Vueling Airlines,VY,107.34
2019-04-15,Barcelona,London Heathrow,2019-09-30T10:10:00,2019-09-30T11:35:00,145,7475,British Airways,BA,151.47
2019-04-15,Barcelona,London Gatwick,2019-09-30T07:35:00,2019-09-30T08:55:00,140,7822,Vueling Airlines,VY,89.45
2019-04-15,Barcelona,London Gatwick,2019-09-30T12:35:00,2019-09-30T13:55:00,140,8072,Vueling Airlines,VY,116.09
2019-04-15,Barcelona,London Gatwick,2019-09-30T07:05:00,2019-09-30T08:25:00,140,7834,Vueling Airlines,VY,95.77
2019-04-15,Barcelona,London Heathrow,2019-09-30T18:20:00,2019-09-30T19:40:00,140,7482,British Airways,BA,152.67
2019-04-15,Barcelona,London Heathrow,2019-09-30T10:10:00,2019-09-30T11:35:00,145,473,British Airways,BA,113.68
2019-04-15,Barcelona,London Gatwick,2019-09-30T12:20:00,2019-09-30T13:50:00,150,8576,easyJet,EZY,122.08
2019-04-15,Barcelona,London Gatwick,2019-09-30T10:45:00,2019-09-30T12:10:00,145,2433,Norwegian Air International,D8,82.9
2019-04-15,Barcelona,London Stansted,2019-10-07T06:20:00,2019-10-07T07:50:00,150,9811,Ryanair,FR,37.73
2019-04-15,Barcelona,London Heathrow,2019-10-07T07:10:00,2019-10-07T08:35:00,145,7478,British Airways,BA,94.9
2019-04-15,Barcelona,London Gatwick,2019-10-07T18:00:00,2019-10-07T19:25:00,145,8580,easyJet,EZY,74.0
2019-04-15,Barcelona,London Gatwick,2019-10-07T17:25:00,2019-10-07T18:45:00,140,8070,Vueling Airlines,VY,85.28
2019-04-15,Barcelona,London Gatwick,2019-10-07T19:40:00,2019-10-07T21:00:00,140,8074,Vueling Airlines,VY,63.7
2019-04-15,Barcelona,London Heathrow,2019-10-07T10:10:00,2019-10-07T11:35:00,145,473,British Airways,BA,74.05
2019-04-15,Barcelona,London Heathrow,2019-10-07T18:20:00,2019-10-07T19:40:00,140,7482,British Airways,BA,94.9
2019-04-15,Barcelona,London Gatwick,2019-10-07T10:50:00,2019-10-07T12:10:00,140,7836,Vueling Airlines,VY,64.65
2019-04-15,Barcelona,London Stansted,2019-10-07T21:25:00,2019-10-07T22:55:00,150,9764,Ryanair,FR,28.55
