dia_busqueda,origen,destino,hora_salida,hora_llegada,duracion,num_vuelo,aerolinea,cod_aerolinea,precio
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T06:15:00,2019-09-04T08:15:00,120,1449,Air France,AF,148.02
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T13:00:00,2019-09-04T15:05:00,125,3920,easyJet,EZY,172.89
2019-04-03,Barcelona,Paris Orly,2019-09-04T11:05:00,2019-09-04T12:55:00,110,8016,Vueling Airlines,VY,159.05
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T06:15:00,2019-09-04T08:15:00,120,2208,Air France,AF,178.19
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T15:15:00,2019-09-04T17:10:00,115,2269,Air France,AF,178.19
2019-04-03,Barcelona,Paris Beauvais,2019-09-04T19:15:00,2019-09-04T21:15:00,120,6355,Ryanair,FR,28.74
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T19:10:00,2019-09-04T21:05:00,115,1749,Air France,AF,115.73
2019-04-03,Barcelona,Paris Orly,2019-09-04T12:45:00,2019-09-04T14:35:00,110,5280,Vueling Airlines,VY,144.67
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T15:15:00,2019-09-04T17:10:00,115,1649,Air France,AF,115.73
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T18:55:00,2019-09-04T21:00:00,125,8226,Vueling Airlines,VY,146.17
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T09:55:00,2019-09-04T11:55:00,120,3916,easyJet,EZY,187.63
2019-04-03,Barcelona,Paris Orly,2019-09-04T20:40:00,2019-09-04T22:35:00,115,3239,Transavia France,TO,142.76
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T16:20:00,2019-09-04T18:25:00,125,5294,Vueling Airlines,VY,135.6
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T16:20:00,2019-09-04T18:25:00,125,8244,Vueling Airlines,VY,154.76
2019-04-03,Barcelona,Paris Orly,2019-09-04T17:35:00,2019-09-04T19:25:00,110,5274,Vueling Airlines,VY,161.83
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T07:50:00,2019-09-04T09:55:00,125,5292,Vueling Airlines,VY,144.67
2019-04-03,Barcelona,Paris Orly,2019-09-04T14:05:00,2019-09-04T15:55:00,110,8018,Vueling Airlines,VY,159.05
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T12:20:00,2019-09-04T14:15:00,115,1349,Air France,AF,115.73
2019-04-03,Barcelona,Paris Orly,2019-09-04T09:05:00,2019-09-04T11:00:00,115,3231,Transavia France,TO,147.05
2019-04-03,Barcelona,Paris Orly,2019-09-04T17:35:00,2019-09-04T19:25:00,110,8020,Vueling Airlines,VY,167.64
2019-04-03,Barcelona,Paris Orly,2019-09-04T12:45:00,2019-09-04T14:35:00,110,8030,Vueling Airlines,VY,159.05
2019-04-03,Barcelona,Paris Beauvais,2019-09-04T06:30:00,2019-09-04T08:30:00,120,6374,Ryanair,FR,17.08
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T07:50:00,2019-09-04T09:55:00,125,8242,Vueling Airlines,VY,163.35
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T10:05:00,2019-09-04T12:05:00,120,2253,Air France,AF,268.87
2019-04-03,Barcelona,Paris Orly,2019-09-04T11:05:00,2019-09-04T12:55:00,110,5270,Vueling Airlines,VY,144.67
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T18:55:00,2019-09-04T21:00:00,125,5866,Vueling Airlines,VY,129.53
2019-04-03,Barcelona,Paris Orly,2019-09-04T06:00:00,2019-09-04T07:50:00,110,5266,Vueling Airlines,VY,144.67
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T10:05:00,2019-09-04T12:05:00,120,1149,Air France,AF,197.46
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T18:05:00,2019-09-04T20:00:00,115,1549,Air France,AF,115.73
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T20:25:00,2019-09-04T22:20:00,115,2245,Air France,AF,178.19
2019-04-03,Barcelona,Paris Orly,2019-09-04T06:00:00,2019-09-04T07:50:00,110,8036,Vueling Airlines,VY,159.05
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T18:05:00,2019-09-04T20:05:00,120,3922,easyJet,EZY,155.96
2019-04-03,Barcelona,Paris Orly,2019-09-04T20:20:00,2019-09-04T22:10:00,110,8028,Vueling Airlines,VY,62.75
2019-04-03,Barcelona,Paris Orly,2019-09-04T09:35:00,2019-09-04T11:25:00,110,5038,Vueling Airlines,VY,144.67
2019-04-03,Barcelona,Paris Orly,2019-09-04T07:00:00,2019-09-04T08:50:00,110,8012,Vueling Airlines,VY,176.23
2019-04-03,Barcelona,Paris Orly,2019-09-04T08:20:00,2019-09-04T10:10:00,110,8024,Vueling Airlines,VY,167.64
2019-04-03,Barcelona,Paris Orly,2019-09-04T19:20:00,2019-09-04T21:10:00,110,5276,Vueling Airlines,VY,161.83
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T12:20:00,2019-09-04T14:15:00,115,2207,Air France,AF,178.19
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T20:10:00,2019-09-04T22:15:00,125,8248,Vueling Airlines,VY,57.02
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T20:10:00,2019-09-04T22:15:00,125,5116,Vueling Airlines,VY,129.53
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T20:25:00,2019-09-04T22:20:00,115,1249,Air France,AF,115.73
2019-04-03,Barcelona,Paris Orly,2019-09-04T07:00:00,2019-09-04T08:50:00,110,5268,Vueling Airlines,VY,161.83
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-04T18:05:00,2019-09-04T20:00:00,115,2246,Air France,AF,178.19
2019-04-03,Barcelona,Paris Orly,2019-09-04T20:20:00,2019-09-04T22:10:00,110,5278,Vueling Airlines,VY,135.6
2019-04-03,Barcelona,Paris Orly,2019-09-04T19:20:00,2019-09-04T21:10:00,110,8022,Vueling Airlines,VY,167.64
2019-04-03,Barcelona,Paris Orly,2019-09-04T08:20:00,2019-09-04T10:10:00,110,5754,Vueling Airlines,VY,161.83
2019-04-03,Barcelona,Paris Orly,2019-09-04T09:35:00,2019-09-04T11:25:00,110,8008,Vueling Airlines,VY,159.05
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T19:10:00,2019-09-11T21:05:00,115,1749,Air France,AF,116.06
2019-04-03,Barcelona,Paris Orly,2019-09-11T20:40:00,2019-09-11T22:35:00,115,3239,Transavia France,TO,138.96
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T06:15:00,2019-09-11T08:15:00,120,2208,Air France,AF,179.56
2019-04-03,Barcelona,Paris Orly,2019-09-11T12:45:00,2019-09-11T14:35:00,110,5280,Vueling Airlines,VY,118.82
2019-04-03,Barcelona,Paris Orly,2019-09-11T12:45:00,2019-09-11T14:35:00,110,8030,Vueling Airlines,VY,138.0
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T10:05:00,2019-09-11T12:05:00,120,2253,Air France,AF,223.4
2019-04-03,Barcelona,Paris Charles de Gaulle,2019-09-11T12:20:00,2019-09-11T14:15:00,115,2207,Air France,AF,179.56
2019-04-03,Barcelona,Paris Orly,2019-09-11T17:35:00,2019-09-11T19:25:00,110,5274,Vueling Airlines,VY,129.91
